Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202100000454,4,GUILHEM,0,,2,2,0,1,0,0,1,, -1,2,0,1,50
202100000692,4,INFIRMERIES (AV DES),0,,2,2,0,1,0,0,1,, -1,2,0,1,30
202100000749,3,CORBEIL (ROUTE DE),0,,2,4,0,1,0,0,1,, -1,2,0,1,50
202100001003,7,METZ (ROUTE DE),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202100001035,3,RIBERAC (ROUTE DE),0,,2,2,0,1,0,0,1,, -1,1,0,1,50
202100001255,1,86,0,,1,2,0,1,6,900,2,, -1,2,0,1,90
202100002137,3,VALS (AVENUE DE),0,,2,2,0,1,0,708,1,, -1,1,0,1,50
202100002823,3,203,-1,,2,2,0,2,17,100,1,, -1,7,0,3,80
202100002861,3,56,0,D,2,2,2,1,(1),(1),1,, -1,1,0,5,30
202100003314,2,24,0,,3,4,0,1,4,590,1,, -1,2,5,1,70
202100004856,3,37,0,D,2,2,0,2,53,700,4,,4,2,0,1,80
202100005232,3,VAILLANT CHARLES (AVENUE),0,,2,2,0,1,2,250,2,, -1,1,0,1,50
202100005618,1,A47,0,,1,4,0,1,14,125,1,, -1,2,3,1,90
202100005700,1,8,0,A,3,3,0,1,7,860,1,, -1,1,0,2,130
202100006045,3,760,-1,,2,2,0,1,60,930,1,, -1,1,0,1,80
202100007364,3,PAUL VAILLANT COUTURIER (BOULEVARD),0,,3,2,0,2,1,0,1,, -1,1,0,1,50
202100007912,3,402,0,,2,2,0,1,41,100,1,, -1,2,0,1,80
202100008442,4,BAS DU FORT,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,50
202100009794,3,,0,,1,1,0,1,5,415,1,, -1,1,0,1,50
202100009981,3,10,0,D,2,2,0,1,116,630,1,,7,1,0,1,70
202100010025,3,BELFORT (RUE DE),0,,2,2,0,1,(1),(1),2,, -1,2,0,1,50
202100010050,3,GARE (PLACE DE LA),0,,2,4,3,1,0,1,3,, -1,2,5,1,50
202100010249,1,86,0,,1,2,0,1,6,699,1,, -1,2,0,2,90
202100010618,4,,-1,,2,2,0,1,(1),(1),1,,4,1,0,1,50
202100010745,4,D'AGEN (RUE),0,,1,2,0,1,1,0,1,, -1,1,0,1,50
202100011044,4,DE LA GARE(RUE),0,,1,1,0,1,0,0,1,, -1,1,0,1,50
202100011315,4,,-1,,2,2,0,1,(1),(1),1,,5,1,0,1,50
202100012694,4,CASTEL MARLY RUE DU,0,,1,1,0,1,0,0,1,, -1,1,0,1,30
202100014564,3,LECLERC (AVENUE),0,,2,3,0,1,0,0,1,, -1,1,5,1,50
202100017320,4,,-1,,-1,1,0,1,(1),(1),1,,"3,5",1,0,6,50
202100017511,3,ELUARD PAUL - AUTRES,0,,3,3,0,1,0,1,2,, -1,1,0,1,50
202100018310,4,QUEUILLE (PLACE HENRI),0,,1,2,0,1,0,0,2,, -1,2,0,8,50
202100018580,7,BD GENERAL DE GAULLE,0,,3,4,3,3,0,644,1,, -1,1,0,6,50
202100018939,4,DE GAULLE (BD CHARLES),0,,3,2,0,1,(1),(1),1,, -1,1,0,1,50
202100020574,2,,-1,,2,2,-1,1,1,(1),1,, -1,1,5,1,50
202100021855,3,252,0,,2,2,0,1,6,965,4,, -1,1,0,3,70
202100021924,7,MOCQUET GUY RUE,0,,2,2,0,1,(1),(1),1,, -1,2,5,1,50
202100021976,4,,-1,,2,2,0,1,(1),(1),1,,"5,5",1,0,4,50
202100023496,3,770,-1,,2,2,0,2,17,200,1,, -1,1,0,3,80
202100023601,4,CALMETTE (RUE),0,,2,2,0,1,1,0,1,, -1,1,0,1,50
202100023754,4,MADELEINE VIONNET(RUE),0,,3,0,0,1,0,0,1,, -1,1,0,1,50
202100024228,1,A13,0,,3,6,0,1,47,99,1,, -1,1,0,1,110
202100025071,3,D2e5,0,,2,2,0,1,5,104,2,, -1,1,2,1,80
202100025091,7,35,0,,3,3,0,1,309,329,1,, -1,1,0,1,90
202100026022,3,12,-1,,2,2,0,1,12,250,1,, -1,1,0,1,80
202100026598,2,N118,0,,1,2,0,1,1,600,1,, -1,1,0,1,70
202100026712,3,73,-1,,2,1,0,1,14,698,4,,3,1,0,1,80
202100026898,3,5,0, -,-1,2,0,4,1,200,3,, -1,1,0,3,80
202100026938,2,RN104,0,,3,4,0,1,10,0,1,, -1,2,0,1,90
202100027582,3,JEAN JAURES (R),0,,2,2,1,1,1,0,1,, -1,1,0,1,50
202100027614,2,21,0,,2,2,0,1,9,350,3,, -1,1,0,1,80
202100028000,3,215,0,D,2,2,0,1,3,383,1,, -1,1,0,1,80
202100028417,3,912,0,,2,2,0,2,12,915,3,, -1,1,0,1,80
202100028649,4,BETHMANN (RUE DE),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202100028930,3,906,0,D,2,2,0,1,27,200,1,, -1,1,0,1,80
202100029024,3,2,0,,2,2,0,1,14,830,1,, -1,3,0,1,50
202100031360,3,419,-1,,2,2,0,2,10,750,1,, -1,2,0,1,80
202100031972,7,FORT DES TOURELLES (QUAI DU ),0,,2,2,0,1,91,830,1,, -1,1,0,1,50
202100032178,3,114,0,,2,2,0,1,0,570,1,, -1,1,0,4,50
202100033128,4,,-1,,2,1,0,2,(1),(1),2,,"3,5",1,0,3,80
202100033141,1,11,-1,A,1,2,0,2,259,0,3,,10,1,3,1,50
202100033464,3,20,-1,,2,2,0,1,28,1079,3,, -1,1,0,3,80
202100035133,3,46,0,,2,2,0,1,2,50,1,, -1,1,0,1,80
202100035342,4,MOULIN JEAN (AVE) NR 10 A 20 ET  13 A 17,0,,2,3,0,1,0,1,1,, -1,1,0,1,50
